date,mean,p10,p25,p50,p75,p90
2026-03-26,1290.2,1245.6,1265.8,1290.3,1314.1,1335.1
2026-03-27,1298.7,1222.8,1257.1,1297.7,1338.9,1376.5
2026-03-28,1282.2,1180.4,1227.4,1280.7,1331.4,1386.6
2026-03-29,1267.1,1148.2,1201.0,1264.8,1326.3,1391.5
2026-03-30,1266.8,1134.4,1190.8,1263.2,1335.9,1408.2
2026-03-31,1273.9,1125.0,1188.7,1269.6,1355.9,1425.0
2026-04-01,1295.5,1127.3,1202.1,1297.5,1382.7,1463.4
2026-04-02,1319.0,1135.7,1217.7,1317.4,1409.3,1508.0
2026-04-03,1326.1,1129.5,1216.0,1322.3,1426.9,1527.3
2026-04-04,1307.6,1106.5,1191.4,1297.9,1418.2,1523.9
2026-04-05,1291.0,1085.1,1172.1,1276.7,1401.8,1513.8
2026-04-06,1288.9,1074.7,1165.3,1275.7,1400.5,1524.3
2026-04-07,1294.8,1072.3,1166.8,1279.8,1411.5,1537.4
2026-04-08,1314.6,1085.1,1178.1,1298.1,1436.6,1572.0
2026-04-09,1336.9,1098.8,1187.5,1319.0,1463.8,1605.4
2026-04-10,1343.1,1097.3,1192.7,1325.1,1480.4,1607.2
2026-04-11,1324.1,1073.4,1176.1,1305.2,1458.2,1591.1
2026-04-12,1306.3,1049.2,1154.1,1286.9,1443.8,1581.5
2026-04-13,1302.3,1043.3,1148.8,1282.0,1436.1,1586.1
2026-04-14,1306.9,1045.2,1149.9,1280.7,1445.2,1595.0
2026-04-15,1326.1,1054.9,1157.8,1302.2,1473.3,1626.5
2026-04-16,1347.2,1061.1,1176.8,1321.8,1493.1,1656.5
2026-04-17,1353.2,1061.0,1179.8,1325.4,1501.9,1673.3
2026-04-18,1332.0,1037.4,1159.7,1303.7,1478.7,1647.1
2026-04-19,1311.7,1020.4,1143.2,1283.3,1455.6,1627.1
2026-04-20,1306.4,1011.7,1135.9,1276.7,1457.9,1624.0
2026-04-21,1310.5,1016.0,1131.0,1278.7,1469.3,1640.2
2026-04-22,1327.7,1025.5,1142.1,1296.9,1478.6,1669.8
2026-04-23,1348.8,1041.7,1158.4,1318.2,1504.2,1702.5
2026-04-24,1352.3,1042.4,1160.9,1327.6,1506.0,1708.4
2026-04-25,1329.6,1013.8,1138.5,1303.5,1484.3,1679.7
2026-04-26,1307.8,996.1,1120.2,1277.8,1462.4,1651.6
2026-04-27,1301.4,994.9,1109.0,1270.4,1458.8,1646.9
2026-04-28,1305.5,996.5,1112.9,1270.7,1459.1,1654.2
2026-04-29,1323.2,1003.0,1126.9,1286.0,1479.9,1696.1
2026-04-30,1344.0,1013.4,1141.2,1306.6,1506.5,1732.5
2026-05-01,1347.5,1011.7,1147.9,1308.6,1519.4,1727.7
2026-05-02,1326.2,992.8,1127.6,1288.2,1494.7,1692.9
2026-05-03,1305.2,973.9,1107.4,1266.2,1471.0,1677.3
2026-05-04,1299.3,962.2,1099.2,1261.9,1458.9,1671.7
2026-05-05,1302.5,966.3,1098.5,1264.9,1464.0,1671.9
2026-05-06,1320.5,988.1,1116.6,1280.9,1481.5,1697.9
2026-05-07,1340.8,996.2,1130.8,1302.5,1508.9,1742.2
2026-05-08,1344.4,995.1,1132.7,1299.6,1516.3,1751.9
2026-05-09,1323.4,976.1,1114.1,1280.0,1495.2,1722.0
2026-05-10,1301.0,963.7,1096.6,1259.8,1474.7,1682.7
2026-05-11,1293.6,952.0,1084.6,1249.2,1466.6,1670.3
2026-05-12,1294.4,947.9,1083.1,1250.8,1462.9,1677.5
2026-05-13,1311.2,964.4,1097.4,1270.5,1478.6,1706.4
2026-05-14,1331.2,982.9,1116.3,1283.0,1500.9,1742.4
2026-05-15,1334.7,986.7,1115.5,1287.4,1506.4,1738.8
2026-05-16,1311.6,962.4,1093.0,1270.9,1485.0,1707.6
2026-05-17,1289.7,945.2,1076.4,1249.1,1451.2,1683.6
2026-05-18,1282.8,942.7,1065.5,1239.7,1441.1,1681.7
2026-05-19,1285.7,944.3,1066.3,1242.2,1447.8,1688.5
2026-05-20,1300.7,952.0,1072.6,1253.2,1473.4,1708.4
2026-05-21,1318.1,966.6,1083.5,1272.1,1495.4,1739.0
2026-05-22,1320.7,962.5,1085.6,1270.8,1497.7,1737.8
2026-05-23,1296.9,939.8,1069.5,1252.0,1473.1,1708.1
2026-05-24,1275.3,923.6,1055.7,1227.6,1445.5,1681.4
2026-05-25,1268.1,914.4,1049.5,1212.9,1423.0,1679.9
2026-05-26,1270.6,909.9,1056.3,1215.9,1432.4,1682.5
2026-05-27,1287.6,918.8,1066.4,1236.8,1452.5,1709.5
2026-05-28,1307.5,933.1,1076.9,1260.8,1474.8,1744.6
2026-05-29,1309.5,936.4,1072.9,1261.3,1475.6,1755.1
2026-05-30,1286.9,915.5,1059.1,1237.8,1457.4,1724.7
2026-05-31,1265.4,898.4,1040.1,1216.3,1434.3,1704.9
2026-06-01,1257.5,892.4,1035.1,1209.0,1425.1,1685.7
2026-06-02,1260.1,897.2,1038.5,1209.6,1424.3,1688.8
2026-06-03,1275.5,908.7,1052.9,1227.8,1442.4,1704.2
2026-06-04,1294.0,919.1,1060.6,1240.5,1464.9,1725.4
2026-06-05,1297.3,915.1,1063.8,1242.8,1472.3,1731.0
2026-06-06,1275.8,906.9,1044.0,1217.7,1454.8,1696.9
2026-06-07,1255.1,888.6,1022.5,1201.0,1424.8,1676.0
2026-06-08,1247.9,882.6,1013.7,1198.1,1414.5,1675.7
2026-06-09,1250.5,885.1,1016.0,1199.8,1416.3,1660.4
2026-06-10,1267.1,894.7,1032.3,1218.7,1438.8,1689.0
2026-06-11,1285.3,908.0,1044.4,1234.6,1458.4,1722.2
2026-06-12,1288.4,910.7,1046.8,1237.9,1461.5,1720.4
2026-06-13,1267.0,890.0,1027.3,1215.6,1442.8,1692.2
2026-06-14,1246.5,871.4,1012.3,1195.0,1415.3,1663.3
2026-06-15,1240.1,867.2,1006.5,1189.6,1409.8,1665.1
2026-06-16,1242.9,869.8,1007.4,1191.5,1413.6,1671.2
2026-06-17,1259.8,876.0,1021.2,1205.8,1439.0,1699.1
2026-06-18,1278.6,889.1,1031.5,1222.0,1468.8,1729.8
2026-06-19,1282.5,891.9,1035.6,1225.6,1476.9,1741.2
2026-06-20,1260.1,871.1,1017.5,1205.9,1450.7,1706.7
2026-06-21,1239.5,856.5,1002.1,1185.6,1419.0,1683.8
2026-06-22,1233.6,854.6,998.7,1183.8,1415.4,1663.8
2026-06-23,1235.9,852.3,996.0,1187.2,1415.4,1663.8
